Original File Name,New File Name,Original Path,New Path,Project Name,Year
61531678030__F1491054-F064-4874-BA99-E2D4BB4BB22F.JPG,1986_Football_image01of06.png,/Volumes/T7 Shield/JACKIESUMELL.COM/1986 Football/1986 Football_gallery/61531678030__F1491054-F064-4874-BA99-E2D4BB4BB22F.JPG,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/1986 Football/1986 Football_gallery/1986_Football_image01of06.png,Football,1986
Headline football.265 2.jpg,1986_Football_image02of06.png,/Volumes/T7 Shield/JACKIESUMELL.COM/1986 Football/1986 Football_gallery/Headline football.265 2.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/1986 Football/1986 Football_gallery/1986_Football_image02of06.png,Football,1986
IMG_20130526_185059.jpg,1986_Football_image03of06.png,/Volumes/T7 Shield/JACKIESUMELL.COM/1986 Football/1986 Football_gallery/IMG_20130526_185059.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/1986 Football/1986 Football_gallery/1986_Football_image03of06.png,Football,1986
football powerpoint 2 13-40-44.jpg,1986_Football_image05of06.png,/Volumes/T7 Shield/JACKIESUMELL.COM/1986 Football/1986 Football_gallery/football powerpoint 2 13-40-44.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/1986 Football/1986 Football_gallery/1986_Football_image05of06.png,Football,1986
me and mom football.tif,1986_Football_image06of06.png,/Volumes/T7 Shield/JACKIESUMELL.COM/1986 Football/1986 Football_gallery/me and mom football.tif,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/1986 Football/1986 Football_gallery/1986_Football_image06of06.png,Football,1986
Muppet master.mov,1998_Muppets_From_Space_image01of03.webm,/Volumes/T7 Shield/JACKIESUMELL.COM/1998 Muppets From Space/1998 Muppets From Space_gallery/Muppet master.mov,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/1998 Muppets From Space/1998 Muppets From Space_gallery/1998_Muppets_From_Space_image01of03.webm,Muppets From Space,1998
muppet screenshot.jpg,1998_Muppets_From_Space_image02of03.png,/Volumes/T7 Shield/JACKIESUMELL.COM/1998 Muppets From Space/1998 Muppets From Space_gallery/muppet screenshot.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/1998 Muppets From Space/1998 Muppets From Space_gallery/1998_Muppets_From_Space_image02of03.png,Muppets From Space,1998
muppet screenshot2.jpg,1998_Muppets_From_Space_image03of03.png,/Volumes/T7 Shield/JACKIESUMELL.COM/1998 Muppets From Space/1998 Muppets From Space_gallery/muppet screenshot2.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/1998 Muppets From Space/1998 Muppets From Space_gallery/1998_Muppets_From_Space_image03of03.png,Muppets From Space,1998
01_Sumell_CoyoteAmericana.jpg,2001_Coyote_Americana_image01of03.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Coyote Americana/2001 Coyote Americana_gallery/01_Sumell_CoyoteAmericana.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Coyote Americana/2001 Coyote Americana_gallery/2001_Coyote_Americana_image01of03.png,Coyote Americana,2001
Coyote Americana_scratch.mov,2001_Coyote_Americana_image02of03.webm,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Coyote Americana/2001 Coyote Americana_gallery/Coyote Americana_scratch.mov,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Coyote Americana/2001 Coyote Americana_gallery/2001_Coyote_Americana_image02of03.webm,Coyote Americana,2001
Sumell_Coyote Americana2.jpg,2001_Coyote_Americana_image03of03.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Coyote Americana/2001 Coyote Americana_gallery/Sumell_Coyote Americana2.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Coyote Americana/2001 Coyote Americana_gallery/2001_Coyote_Americana_image03of03.png,Coyote Americana,2001
DSCN4287.JPG,2001_New_Langton_Performance_image01of03.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 New Langton Performance/2001 New Langton Performance_gallery/DSCN4287.JPG,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 New Langton Performance/2001 New Langton Performance_gallery/2001_New_Langton_Performance_image01of03.png,New Langton Performance,2001
SFworksfinal.tif,2001_New_Langton_Performance_image02of03.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 New Langton Performance/2001 New Langton Performance_gallery/SFworksfinal.tif,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 New Langton Performance/2001 New Langton Performance_gallery/2001_New_Langton_Performance_image02of03.png,New Langton Performance,2001
langton perfo crowd.jpg,2001_New_Langton_Performance_image03of03.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 New Langton Performance/2001 New Langton Performance_gallery/langton perfo crowd.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 New Langton Performance/2001 New Langton Performance_gallery/2001_New_Langton_Performance_image03of03.png,New Langton Performance,2001
PLAYBO~1.tif,2001_No_Bush_image01of02.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 No Bush/2001 No Bush_gallery/PLAYBO~1.tif,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 No Bush/2001 No Bush_gallery/2001_No_Bush_image01of02.png,No Bush,2001
PLAYBP~1.tif,2001_No_Bush_image02of02.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 No Bush/2001 No Bush_gallery/PLAYBP~1.tif,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 No Bush/2001 No Bush_gallery/2001_No_Bush_image02of02.png,No Bush,2001
astudio10 door 72.jpg,2001_Studio_10_Intervention_image01of05.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Studio 10 Intervention/2001 Studio 10 Intervention_gallery/astudio10 door 72.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Studio 10 Intervention/2001 Studio 10 Intervention_gallery/2001_Studio_10_Intervention_image01of05.png,Studio 10 Intervention,2001
astudio10:72.jpg,2001_Studio_10_Intervention_image02of05.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Studio 10 Intervention/2001 Studio 10 Intervention_gallery/astudio10:72.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Studio 10 Intervention/2001 Studio 10 Intervention_gallery/2001_Studio_10_Intervention_image02of05.png,Studio 10 Intervention,2001
astudio10rahel72.jpg,2001_Studio_10_Intervention_image03of05.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Studio 10 Intervention/2001 Studio 10 Intervention_gallery/astudio10rahel72.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Studio 10 Intervention/2001 Studio 10 Intervention_gallery/2001_Studio_10_Intervention_image03of05.png,Studio 10 Intervention,2001
studio10 door 72.jpg,2001_Studio_10_Intervention_image04of05.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Studio 10 Intervention/2001 Studio 10 Intervention_gallery/studio10 door 72.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Studio 10 Intervention/2001 Studio 10 Intervention_gallery/2001_Studio_10_Intervention_image04of05.png,Studio 10 Intervention,2001
studio10:72.jpg,2001_Studio_10_Intervention_image05of05.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Studio 10 Intervention/2001 Studio 10 Intervention_gallery/studio10:72.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Studio 10 Intervention/2001 Studio 10 Intervention_gallery/2001_Studio_10_Intervention_image05of05.png,Studio 10 Intervention,2001
02_Sumell_Underdog.jpg,2001_Underdog_Series_image01of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Underdog Series/2001 Underdog Series_gallery/02_Sumell_Underdog.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Underdog Series/2001 Underdog Series_gallery/2001_Underdog_Series_image01of07.png,Underdog Series,2001
bullseye fro eface.jpg,2001_Underdog_Series_image02of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Underdog Series/2001 Underdog Series_gallery/bullseye fro eface.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Underdog Series/2001 Underdog Series_gallery/2001_Underdog_Series_image02of07.png,Underdog Series,2001
fake iceberg.jpg,2001_Underdog_Series_image03of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Underdog Series/2001 Underdog Series_gallery/fake iceberg.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Underdog Series/2001 Underdog Series_gallery/2001_Underdog_Series_image03of07.png,Underdog Series,2001
sattellite.jpg,2001_Underdog_Series_image04of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Underdog Series/2001 Underdog Series_gallery/sattellite.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Underdog Series/2001 Underdog Series_gallery/2001_Underdog_Series_image04of07.png,Underdog Series,2001
scenesboatenter:72.jpg,2001_Underdog_Series_image05of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Underdog Series/2001 Underdog Series_gallery/scenesboatenter:72.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Underdog Series/2001 Underdog Series_gallery/2001_Underdog_Series_image05of07.png,Underdog Series,2001
scenesclose.jpg,2001_Underdog_Series_image06of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Underdog Series/2001 Underdog Series_gallery/scenesclose.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Underdog Series/2001 Underdog Series_gallery/2001_Underdog_Series_image06of07.png,Underdog Series,2001
scenesclose.tif,2001_Underdog_Series_image07of07.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2001 Underdog Series/2001 Underdog Series_gallery/scenesclose.tif,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2001 Underdog Series/2001 Underdog Series_gallery/2001_Underdog_Series_image07of07.png,Underdog Series,2001
5_cricket rodeo 2.JPG,2002_Cricket_Rodeo_image01of04.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2002 Cricket Rodeo/2002 Cricket Rodeo_gallery/5_cricket rodeo 2.JPG,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2002 Cricket Rodeo/2002 Cricket Rodeo_gallery/2002_Cricket_Rodeo_image01of04.png,Cricket Rodeo,2002
6_cricket rodeo.JPG,2002_Cricket_Rodeo_image02of04.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2002 Cricket Rodeo/2002 Cricket Rodeo_gallery/6_cricket rodeo.JPG,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2002 Cricket Rodeo/2002 Cricket Rodeo_gallery/2002_Cricket_Rodeo_image02of04.png,Cricket Rodeo,2002
cricket rodeo.JPG,2002_Cricket_Rodeo_image03of04.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2002 Cricket Rodeo/2002 Cricket Rodeo_gallery/cricket rodeo.JPG,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2002 Cricket Rodeo/2002 Cricket Rodeo_gallery/2002_Cricket_Rodeo_image03of04.png,Cricket Rodeo,2002
rodeobrownguy.jpg,2002_Cricket_Rodeo_image04of04.png,/Volumes/T7 Shield/JACKIESUMELL.COM/2002 Cricket Rodeo/2002 Cricket Rodeo_gallery/rodeobrownguy.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2002 Cricket Rodeo/2002 Cricket Rodeo_gallery/2002_Cricket_Rodeo_image04of04.png,Cricket Rodeo,2002
